Food name and description,Density in g/ml,Specific,BiblioID,Update
"",(including mass,gravity,,Version
"",and bulk density),,,2.0
Grape juice,1.054,,S&W,
"Grape juice, canned or bottled, unsweetened, with",1.06,1.07,USDA,x
added ascorbic acid,,,,
"Grape juice, canned or bottled, unsweetened,",1.06,1.07,USDA,x
without added ascorbic acid,,,,
"Guanabana nectar, canned",1.02,1.02,USDA,x
"Guava nectar, canned",1.02,1.02,USDA,x
"Ice, crushed",0.56-0.72,,ASI,x
"Juice, apple and grape blend, with added ascorbic",1.05,1.05,USDA,
acid,,,,
"Juice, apple, grape and pear blend, with added",1.05,1.05,USDA,
ascorbic acid and calcium,,,,
"Lemonade, frozen concentrate, pink",1.24,1.24,USDA,
"Lemonade, frozen concentrate, white",1.17,1.17,USDA,
"Lime juice cordial, undiluted",,1.102,UK 6th,
"Mango nectar, canned",1.00,1.00,USDA,x
"Meal supplement drink, NESTLE, SUPLIGEN,",1.04,1.04,USDA,x
"canned, peanut flavor",,,,
Orange juice,1.038,,S&W,
Orange juice with calcium,1.038,,S&W,
"Orange juice, canned, unsweetened",1.04,1.05,USDA,x
Orange soda (sweetened with sugar),1.029,,S&W,
"QUAKER OATS, PROPEL Fitness Water, fruit-",1.00,1.00,USDA,x
"flavored, non-carbonated",,,,
"Soft drinks, cola type",,1.040,UK 6th,
"Soft drinks, diet soda",0.988,,S&W,
"Soft drinks, lemonade type",,1.020,UK 6th,
"Soft drinks, lucozade type",,1.070,UK 6th,
Soy drink,1.08,,FNDDS 4.1,
Soya + milk + sugar,1.05,,KEN,x
Soya + sugar,1.05,,KEN,x
"Sports drink, COCA-COLA, POWERADE, lemon-",1.03,1.03,USDA,x
"lime flavored, ready-to-drink",,,,
"Sports drink, PEPSICO QUAKER GATORADE,",1.03,1.03,USDA,x
"GATORADE, original, fruit-flavored, ready-to-",,,,
drink,,,,
"Tamarind nectar, canned",1.01,1.01,USDA,x
Water,,1,CG,x
"Water, ice, 0 °C",0.916,,TB,
"Water, ice, 4 °C",0.999,,TB,
"Water, liquid, 20 °C",0.998,,TB,
"Water, mineralwater",1.035-1.04,,DK,
"Tea, cacao, coffee and drinking powders",,,,
"Coffee, brewed",1,,FNDDS 4.1,
"Coffee, expresso",1,,FNDDS 4.1,
"Coffee, green (beans)",0.59-0.62,0.59-0.62,ASI,x
"Coffee, powder (nescafé)",0.25,,RC,
Food name and description,Density in g/ml,Specific,BiblioID,Update
"",(including mass,gravity,,Version
"",and bulk density),,,2.0
"Coffee, roasted (beans)",0.35-0.38,0.35-0.38,ASI,x
"Miso, broth, ready to drink",1.06,,FNDDS 4.1,
"Powder, chocolate drinking powder",0.5-0.55,,RC,
Powders,0.2-0.25,,KEN,x
"Tea, black (tea leaves)",0.48,,KEN,x
"Tea, herbal, Ciakimora (leaves + water)",1,,KEN,x
"Tea, herbal, Ciakimora leaves",0.23,,KEN,x
"Tea, flakes",0.38,,ASI,x
"Tea, powdered",0.43,,ASI,x
"Tea, liquid",1,,FNDDS 4.1,
"Tea, only (tea leaves + water)",1,,KEN,x
"Tea, ready-to-drink, ARIZONA iced tea, with",1.03,1.04,USDA,x
lemon flavor,,,,
"Tea, ready-to-drink, LIPTON BRISK iced tea, with",1.03,1.03,USDA,x
lemon flavor,,,,
"Tea, ready-to-drink, NESTLE, COOL NESTEA ice",1.03,1.04,USDA,x
tea lemon flavor,,,,
"Beverages, alcoholic",,,,
Beer,,,,
"Beer, lager",,1.005,UK 6th,
"Beer, light",1.00,1.00,USDA,x
"Beer, light, BUD LIGHT",1.00,1.00,USDA,x
"Beer, light, BUDWEISER SELECT",1.00,1.00,USDA,x
"Beer, light, MICHELOB ULTRA",1.00,1.00,USDA,x
"Beer, local (non specific)",0.96,,KEN,x
"Beer, pale ale",,1.003,UK 6th,
"Beer, pilsner",1.007,,DK,
"Beer, pilsner, 4 °C",1.008,,TB,
"Beer, regular, all",1.01,1.01,USDA,x
"Beer, regular, BUDWEISER",1.00,1.01,USDA,x
"Beer, stout, bottled",,1.014,UK 6th,
"Beer, stout, extra",,1.002,UK 6th,
"Beer, strong ale",,1.018,UK 6th,
"Beer, type bitter or brown ale",,1.008,UK 6th,
"Beer, type draught",,1.004,UK 6th,
"Beer, type Keg",,1.001,UK 6th,
"Beer, type mild, draught",,1.009,UK 6th,
"Beer, commercial (white cap etc.)",0.97,,KEN,x
Spirits and liqueurs,,,,
"Alcohol, ethyl",0.789,,TB,
Amaretto,,1.1,CG,x
Amaretto di Saranno,,1.08,CG,x
Anisette,,1.175,CG,x
Apricot brandy,,1.06,CG,x
Apricot liquor,,1.09,CG,x
Bailey's irish cream,,1.05,CG,x
Benedictine,,1.04,CG,x
Food name and description,Density in g/ml,Specific,BiblioID,Update
"",(including mass,gravity,,Version
"",and bulk density),,,2.0
Benedictine D.O.M.,,1.07,CG,x
Blackberry brandy,,1.06,CG,x
Blackberry liquor,,1.1,CG,x
Blue curacao,,1.11,CG,x
Brandy,,1.04,CG,x
Campari,,1.06,CG,x
Cherry brandy,,1.06,CG,x
Cherry liqueur,,1.12,CG,x
Coffee liquor,,1.13,CG,x
Cointreau,,1.04,CG,x
Crème de almond,,1.16,CG,x
Crème de banana,,1.14,CG,x
Crème de cacao,,1.14,CG,x
Creme de cassis,,1.18,CG,x
Crème de noyaux,,1.165,CG,x
Drambuie,,1.08,CG,x
Frangelico,,1.08,CG,x
Galliano,,1.11,CG,x
Green chartreuse,,1.01,CG,x
Green crème de menthe,,1.12,CG,x
Kummel,,1.04,CG,x
Liqueur,1.03-1.150,,DK,
"Liqueur, type advocaat",,1.093,UK 6th,
"Liqueur, type cherry brandy",,1.093,UK 6th,
"Liqueur, type curacao",,1.052,UK 6th,
Midori melon liquor,,1.05,CG,x
Orange curacao,,1.08,CG,x
Parfrait d'amour,,1.13,CG,x
Peach brandy,,1.06,CG,x
Peach liqueur,,1.04,CG,x
Peppermint schnapps,,1.04,CG,x
Port,,1.026,UK 6th,
Rock and Rye,,1.05,CG,x
"Sherry, dry",,0.988,UK 6th,
"Sherry, medium",,0.998,UK 6th,
"Sherry, sweet",,1.009,UK 6th,
Sloe gin,,1.04,CG,x
Southern comfort,,0.97,CG,x
"Spirits, 40% alcohol",,0.950,UK 6th,
"Spirits, 45% alcohol (whiskey)",0.939,,DK,
"Spirits, 70% alcohol",0.885,,DK,
"Spirits, 75% alcohol",0.873,,DK,
Strawberry liqueur,,1.12,CG,x
Tia Maria,,1.09,CG,x
Triple sec,,1.09,CG,x
Tuaca,,0.98,CG,x
Food name and description,Density in g/ml,Specific,BiblioID,Update
"",(including mass,gravity,,Version
"",and bulk density),,,2.0
"Vermouth, dry",,1.005,UK 6th,
"Vermouth, sweet",,1.046,UK 6th,
White crème de cacao,,1.14,CG,x
White crème de menthe,,1.12,CG,x
Yellow chartreuse,,1.06,CG,x
Wine and Cider,,,,
"Cider, dry",,1.007,UK 6th,
"Cider, sweet",,1.012,UK 6th,
"Cider, vintage",,1.017,UK 6th,
"Wine, red",,0.998,UK 6th,
"Wine, rose, medium",,1.003,UK 6th,
"Wine, table, all",0.99,0.99,USDA,x
"Wine, table, red",0.99,0.99,USDA,x
"Wine, table, red, Barbera",0.99,0.99,USDA,x
"Wine, table, red, Burgundy",1.00,1.00,USDA,x
